id,description,file,score,rating,finding_count,processing_time_ms,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1_score,accuracy,expected_rule_ids,actual_rule_ids,false_positive_ids,false_negative_ids
secure-baseline,A controlled RouterOS configuration designed to pass the implemented security checks.,configs/secure_baseline.rsc,100,Excellent,0,2.332,0,0,0,85,1.0,1.0,1.0,1.0,,,,
insecure-baseline,"A controlled RouterOS configuration containing exposed services, duplicate addressing, and a broad firewall rule.",configs/insecure_baseline.rsc,45,Poor,8,0.662,8,0,0,77,1.0,1.0,1.0,1.0,FW-001;FW-002;FW-003;FW-004;IP-001;IP-005;SRV-001;SRV-004,FW-001;FW-002;FW-003;FW-004;IP-001;IP-005;SRV-001;SRV-004,,
dhcp-conflict,"A DHCP and addressing scenario with reserved addresses, duplicated networks, overlapping pools, and missing firewall baselines.",configs/dhcp_conflict.rsc,29,Critical,15,1.086,14,0,0,71,1.0,1.0,1.0,1.0,DHCP-002;DHCP-006;DHCP-007;DHCP-008;DHCP-009;DHCP-010;DHCP-011;FW-001;FW-002;FW-003;IP-005;IP-006;IP-007;IP-008,DHCP-002;DHCP-006;DHCP-007;DHCP-008;DHCP-009;DHCP-010;DHCP-011;FW-001;FW-002;FW-003;IP-005;IP-006;IP-007;IP-008,,
route-risk,"A static routing scenario with invalid destinations, missing gateways, recursive resolution failures, duplicates, and unsafe gateway values.",configs/route_risk.rsc,51,Poor,15,1.275,14,0,0,71,1.0,1.0,1.0,1.0,FW-001;FW-002;FW-003;ROUTE-001;ROUTE-002;ROUTE-003;ROUTE-004;ROUTE-005;ROUTE-006;ROUTE-007;ROUTE-008;ROUTE-009;ROUTE-010;ROUTE-011,FW-001;FW-002;FW-003;ROUTE-001;ROUTE-002;ROUTE-003;ROUTE-004;ROUTE-005;ROUTE-006;ROUTE-007;ROUTE-008;ROUTE-009;ROUTE-010;ROUTE-011,,
firewall-risk,"A firewall ordering and exposure scenario covering unreachable rules, shadowing, duplicates, invalid matchers, and exposed management ports.",configs/firewall_risk.rsc,42,Poor,19,1.325,10,0,0,75,1.0,1.0,1.0,1.0,FW-006;FW-009;FW-010;FW-011;FW-012;FW-013;FW-014;FW-015;FW-016;FW-017,FW-006;FW-009;FW-010;FW-011;FW-012;FW-013;FW-014;FW-015;FW-016;FW-017,,
nat-risk,"A destination NAT scenario with duplicate masquerade, broad exposure, invalid translations, conflicting forwards, and missing protection.",configs/nat_risk.rsc,34,Critical,20,1.328,13,0,0,72,1.0,1.0,1.0,1.0,FW-001;FW-002;FW-003;NAT-001;NAT-002;NAT-005;NAT-006;NAT-007;NAT-008;NAT-009;NAT-010;NAT-011;NAT-012,FW-001;FW-002;FW-003;NAT-001;NAT-002;NAT-005;NAT-006;NAT-007;NAT-008;NAT-009;NAT-010;NAT-011;NAT-012,,
security-services-risk,"A service-hardening scenario with remote DNS exposure, Layer-2 management exposure, proxy services, SNMP, and bandwidth-test risks.",configs/security_services_risk.rsc,39,Critical,13,0.994,13,0,0,72,1.0,1.0,1.0,1.0,FW-002;FW-003;SEC-001;SEC-002;SEC-003;SEC-004;SEC-005;SEC-006;SEC-007;SEC-008;SEC-009;SEC-010;SEC-011,FW-002;FW-003;SEC-001;SEC-002;SEC-003;SEC-004;SEC-005;SEC-006;SEC-007;SEC-008;SEC-009;SEC-010;SEC-011,,
reference-integrity-risk,"A dependency-integrity scenario with undefined interfaces, lists, bridge objects, DHCP references, firewall references, and NAT references.",configs/reference_integrity_risk.rsc,32,Critical,16,1.071,16,0,0,69,1.0,1.0,1.0,1.0,DHCP-005;FW-001;FW-002;FW-003;FW-007;FW-008;FW-011;IF-001;IF-002;IF-003;IF-004;IF-005;IP-004;NAT-003;NAT-004;NAT-011,DHCP-005;FW-001;FW-002;FW-003;FW-007;FW-008;FW-011;IF-001;IF-002;IF-003;IF-004;IF-005;IP-004;NAT-003;NAT-004;NAT-011,,
partial-export-risk,A partial export containing exposed management services and incomplete firewall context.,configs/partial_export_risk.rsc,15,Critical,8,0.375,8,0,0,77,1.0,1.0,1.0,1.0,FW-001;FW-002;FW-003;FW-016;SRV-001;SRV-002;SRV-003;SRV-005,FW-001;FW-002;FW-003;FW-016;SRV-001;SRV-002;SRV-003;SRV-005,,
safe-remediated,"A remediated baseline with restricted services, default drops, safe DHCP ranges, NAT masquerade, and a resolvable default route.",configs/safe_remediated.rsc,100,Excellent,0,1.796,0,0,0,85,1.0,1.0,1.0,1.0,,,,
